number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
94,0.010117880966738914,13,1,3,343,0.8513274336283185,0.010117880966738914,13,1,3,343
86,0.01012124407696109,15,1,4,311,0.848377581120944,0.01012124407696109,15,1,4,311
83,0.010121485348331483,13,1,3,215,0.8501474926253687,0.010121485348331483,13,1,3,215
73,0.010121804175326292,13,1,3,251,0.8513274336283185,0.010121804175326292,13,1,3,251
95,0.010122112132628749,13,1,3,341,0.8501474926253687,0.010122112132628749,13,1,3,341
79,0.010123667878722943,13,1,3,199,0.8495575221238938,0.010123667878722943,13,1,3,199
99,0.01012402811074492,15,1,4,344,0.848377581120944,0.01012402811074492,15,1,4,344
63,0.010125045956191032,15,1,2,210,0.8495575221238938,0.010125045956191032,15,1,2,210
81,0.01012538836965942,13,1,3,198,0.8495575221238938,0.01012538836965942,13,1,3,198
62,0.010133484362701346,13,1,2,207,0.8495575221238938,0.010133484362701346,13,1,2,207
75,0.010138107354388026,13,1,2,209,0.8501474926253687,0.010138107354388026,13,1,2,209
67,0.01014137389626028,13,1,2,238,0.8495575221238938,0.01014137389626028,13,1,2,238
52,0.010142785400837276,12,1,2,225,0.8519174041297936,0.010142785400837276,12,1,2,225
54,0.01014710984032043,13,1,2,233,0.8489675516224189,0.01014710984032043,13,1,2,233
82,0.010148826403513788,14,1,3,199,0.8536873156342183,0.010148826403513788,14,1,3,199
70,0.010152520477140735,13,1,2,186,0.848377581120944,0.010152520477140735,13,1,2,186
90,0.010155418926876363,16,1,4,309,0.8489675516224189,0.010155418926876363,16,1,4,309
51,0.010160100980934877,11,1,2,234,0.8477876106194691,0.010160100980934877,11,1,2,234
53,0.010160525113331141,12,1,6,227,0.8442477876106195,0.010160525113331141,12,1,6,227
89,0.010161749966410255,15,1,3,268,0.8495575221238938,0.010161749966410255,15,1,3,268
36,0.01016479070835762,12,1,3,499,0.8507374631268436,0.01016479070835762,12,1,3,499
71,0.010167553089027219,11,1,2,191,0.8466076696165191,0.010167553089027219,11,1,2,191
92,0.01017477204748769,12,1,3,218,0.8471976401179941,0.01017477204748769,12,1,3,218
91,0.010175052612251713,12,1,3,242,0.848377581120944,0.010175052612251713,12,1,3,242
65,0.010178829061209125,16,1,2,176,0.8489675516224189,0.010178829061209125,16,1,2,176
58,0.010185114679424694,14,1,2,273,0.8489675516224189,0.010185114679424694,14,1,2,273
72,0.010188470765697248,13,1,2,148,0.848377581120944,0.010188470765697248,13,1,2,148
30,0.0101887288332515,12,1,6,459,0.8454277286135693,0.0101887288332515,12,1,6,459
66,0.010188828527288434,15,1,3,143,0.8477876106194691,0.010188828527288434,15,1,3,143
61,0.010189383012980932,14,1,2,268,0.8495575221238938,0.010189383012980932,14,1,2,268
93,0.010189890052758605,14,1,2,198,0.8507374631268436,0.010189890052758605,14,1,2,198
31,0.010192180155533507,12,1,6,497,0.8454277286135693,0.010192180155533507,12,1,6,497
32,0.010192180155533507,12,1,6,497,0.8454277286135693,0.010192180155533507,12,1,6,497
47,0.010193536254808944,11,1,2,173,0.8466076696165191,0.010193536254808944,11,1,2,173
78,0.010213953016013157,14,1,2,182,0.8507374631268436,0.010213953016013157,14,1,2,182
84,0.010234175957197906,12,1,3,154,0.8495575221238938,0.010234175957197906,12,1,3,154
87,0.01024483797356434,15,2,5,326,0.8460176991150442,0.01024483797356434,15,2,5,326
96,0.010247670204237941,14,2,4,341,0.8471976401179941,0.010247670204237941,14,2,4,341
85,0.010258088299176895,13,2,4,215,0.8477876106194691,0.010258088299176895,13,2,4,215
76,0.010261134624641148,13,2,3,209,0.8477876106194691,0.010261134624641148,13,2,3,209
43,0.01026266472514155,10,1,3,411,0.8371681415929203,0.01026266472514155,10,1,3,411
41,0.010262800556985299,14,1,7,427,0.8407079646017699,0.010262800556985299,14,1,7,427
64,0.010263528892007238,13,2,3,207,0.8471976401179941,0.010263528892007238,13,2,3,207
59,0.010264823355758186,14,2,2,287,0.8477876106194691,0.010264823355758186,14,2,2,287
28,0.010265741768333642,14,1,7,432,0.8407079646017699,0.010265741768333642,14,1,7,432
74,0.010266501105242265,16,2,3,252,0.8477876106194691,0.010266501105242265,16,2,3,252
68,0.01026688895309346,17,2,4,238,0.8454277286135693,0.01026688895309346,17,2,4,238
29,0.010268168844074428,13,1,7,448,0.840117994100295,0.010268168844074428,13,1,7,448
33,0.010271296387633447,10,1,5,491,0.8353982300884956,0.010271296387633447,10,1,5,491
37,0.010282879906200996,11,2,2,497,0.8471976401179941,0.010282879906200996,11,2,2,497
55,0.010288791866082872,15,2,2,225,0.8477876106194691,0.010288791866082872,15,2,2,225
42,0.010313120242756824,13,1,8,500,0.8371681415929203,0.010313120242756824,13,1,8,500
26,0.010333741188258883,16,1,9,412,0.8300884955752212,0.010333741188258883,16,1,9,412
88,0.010336836453189358,14,2,4,127,0.8407079646017699,0.010336836453189358,14,2,4,127
27,0.010342892529509312,15,1,9,436,0.8312684365781711,0.010342892529509312,15,1,9,436
48,0.010351411157440394,11,2,2,167,0.8418879056047197,0.010351411157440394,11,2,2,167
21,0.010430471555118913,18,2,10,381,0.8300884955752212,0.010430471555118913,18,2,10,381
22,0.010434899965346297,20,2,10,386,0.8277286135693215,0.010434899965346297,20,2,10,386
19,0.010438262127611127,20,2,10,353,0.8306784660766962,0.010438262127611127,20,2,10,353
46,0.010487278694225298,12,2,4,32,0.8424778761061947,0.010487278694225298,12,2,4,32
25,0.010493088441076073,20,3,6,375,0.8330383480825959,0.010493088441076073,20,3,6,375
60,0.010506077398045963,11,3,3,237,0.8353982300884956,0.010506077398045963,11,3,3,237
49,0.010518785927818417,13,3,5,197,0.8342182890855457,0.010518785927818417,13,3,5,197
98,0.010530972719988393,13,2,11,365,0.8277286135693215,0.010530972719988393,13,2,11,365
8,0.010550882629037788,18,2,12,316,0.824188790560472,0.010550882629037788,18,2,12,316
45,0.010552536870704413,9,1,3,475,0.8112094395280236,0.010552536870704413,9,1,3,475
44,0.010558316110898225,10,3,3,407,0.8277286135693215,0.010558316110898225,10,3,3,407
15,0.010610315643588908,18,2,13,357,0.8182890855457227,0.010610315643588908,18,2,13,357
11,0.010659160312628419,16,1,15,329,0.8123893805309734,0.010659160312628419,16,1,15,329
10,0.010662652245889633,16,1,15,325,0.8123893805309734,0.010662652245889633,16,1,15,325
20,0.010662860607740519,20,4,7,254,0.8294985250737463,0.010662860607740519,20,4,7,254
12,0.010670837122373924,17,1,15,306,0.8112094395280236,0.010670837122373924,17,1,15,306
34,0.01067442499370941,12,4,6,493,0.8300884955752212,0.01067442499370941,12,4,6,493
1,0.01067499207607903,14,4,6,194,0.8259587020648967,0.01067499207607903,14,4,6,194
50,0.010695393857479387,9,2,4,117,0.8029498525073746,0.010695393857479387,9,2,4,117
23,0.010719039124556793,20,4,10,362,0.8253687315634218,0.010719039124556793,20,4,10,362
77,0.010747124766624575,15,5,4,255,0.8230088495575221,0.010747124766624575,15,5,4,255
13,0.010753313072789929,10,3,12,480,0.8112094395280236,0.010753313072789929,10,3,12,480
17,0.010780323163782605,11,5,11,474,0.8206489675516224,0.010780323163782605,11,5,11,474
16,0.010784461970746619,19,3,13,394,0.8147492625368732,0.010784461970746619,19,3,13,394
35,0.010833885980918211,9,3,5,455,0.800589970501475,0.010833885980918211,9,3,5,455
0,0.01087355731811091,17,5,12,142,0.8188790560471977,0.01087355731811091,17,5,12,142
69,0.010874616205966171,15,6,2,213,0.8165191740412979,0.010874616205966171,15,6,2,213
40,0.010888711937841628,14,6,5,460,0.8194690265486726,0.010888711937841628,14,6,5,460
18,0.01099433492277908,18,7,13,253,0.8088495575221238,0.01099433492277908,18,7,13,253
14,0.010996532550046813,15,7,10,299,0.8088495575221238,0.010996532550046813,15,7,10,299
80,0.01102352843455903,17,7,14,163,0.8070796460176991,0.01102352843455903,17,7,14,163
38,0.011182189768602009,12,8,4,469,0.799410029498525,0.011182189768602009,12,8,4,469
6,0.011344385698272362,19,9,2,210,0.7887905604719764,0.011344385698272362,19,9,2,210
56,0.011352114111064722,13,9,3,227,0.7876106194690266,0.011352114111064722,13,9,3,227
2,0.011581983555350011,20,10,8,406,0.7864306784660767,0.011581983555350011,20,10,8,406
5,0.011602256022148653,13,10,4,418,0.784070796460177,0.011602256022148653,13,10,4,418
57,0.01168773377677444,8,2,4,284,0.6176991150442478,0.01168773377677444,8,2,4,284
9,0.011871919501719163,8,3,8,108,0.5498525073746313,0.011871919501719163,8,3,8,108
7,0.011968080002027962,13,10,9,10,0.7793510324483776,0.011968080002027962,13,10,9,10
39,0.013102004594812968,7,2,3,423,0.287905604719764,0.013102004594812968,7,2,3,423
4,0.013291455045207751,7,6,4,190,0.2884955752212389,0.013291455045207751,7,6,4,190
3,0.018990363733332863,5,2,13,94,0.00943952802359882,0.018990363733332863,5,2,13,94
97,0.028260326202653153,3,1,3,298,0.14926253687315635,0.028260326202653153,3,1,3,298
24,0.028336425669159688,3,2,10,447,0.14926253687315635,0.028336425669159688,3,2,10,447
