number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
72,0.011698314171919452,17,1,2,190,0.8495575221238938,0.011698314171919452,17,1,2,190
91,0.011716159430156059,13,1,3,491,0.8446411012782694,0.011716159430156059,13,1,3,491
83,0.01172110032778197,13,1,3,487,0.8456243854473943,0.01172110032778197,13,1,3,487
82,0.011721261435035522,13,1,3,485,0.8456243854473943,0.011721261435035522,13,1,3,485
92,0.011728519747703338,13,1,3,474,0.8456243854473943,0.011728519747703338,13,1,3,474
88,0.011735196769604935,13,1,3,443,0.8466076696165191,0.011735196769604935,13,1,3,443
22,0.01174224772478761,12,1,3,497,0.8485742379547689,0.01174224772478761,12,1,3,497
10,0.01174581261196233,12,1,2,500,0.8456243854473943,0.01174581261196233,12,1,2,500
60,0.011746922260091252,15,1,2,292,0.8505408062930186,0.011746922260091252,15,1,2,292
61,0.011749933635262026,15,1,2,281,0.8505408062930186,0.011749933635262026,15,1,2,281
50,0.011749969094365317,18,1,3,379,0.8495575221238938,0.011749969094365317,18,1,3,379
85,0.01175250235356129,14,1,3,489,0.8446411012782694,0.01175250235356129,14,1,3,489
78,0.011755079039353043,12,1,2,484,0.8466076696165191,0.011755079039353043,12,1,2,484
81,0.011755535884722803,19,1,3,486,0.8495575221238938,0.011755535884722803,19,1,3,486
11,0.011756431685921265,12,1,2,483,0.8466076696165191,0.011756431685921265,12,1,2,483
51,0.011758530961371772,18,1,3,358,0.8475909537856441,0.011758530961371772,18,1,3,358
80,0.011759084249648298,12,1,2,480,0.8466076696165191,0.011759084249648298,12,1,2,480
97,0.011760018001596836,13,1,2,50,0.8456243854473943,0.011760018001596836,13,1,2,50
71,0.011763937337649036,18,1,2,224,0.8475909537856441,0.011763937337649036,18,1,2,224
56,0.01176460290187423,18,1,2,229,0.8495575221238938,0.01176460290187423,18,1,2,229
52,0.011765014152661964,19,1,3,355,0.8466076696165191,0.011765014152661964,19,1,3,355
36,0.011766991805676374,17,1,5,410,0.8436578171091446,0.011766991805676374,17,1,5,410
98,0.01176737984470575,14,1,3,473,0.8456243854473943,0.01176737984470575,14,1,3,473
21,0.011769840352868127,12,1,4,496,0.8436578171091446,0.011769840352868127,12,1,4,496
31,0.011770371536637528,12,1,4,495,0.8436578171091446,0.011770371536637528,12,1,4,495
64,0.011772318304784972,13,1,2,380,0.8475909537856441,0.011772318304784972,13,1,2,380
41,0.011774044597488396,13,1,4,479,0.8466076696165191,0.011774044597488396,13,1,4,479
84,0.01177951064403063,13,1,4,450,0.8466076696165191,0.01177951064403063,13,1,4,450
74,0.011782732220421747,14,1,3,171,0.8475909537856441,0.011782732220421747,14,1,3,171
54,0.011782881697715472,19,1,3,268,0.8525073746312685,0.011782881697715472,19,1,3,268
95,0.01178446006006546,12,1,4,456,0.8436578171091446,0.01178446006006546,12,1,4,456
65,0.011789598058080572,16,1,4,349,0.8446411012782694,0.011789598058080572,16,1,4,349
93,0.01179021547861461,13,1,2,475,0.8456243854473943,0.01179021547861461,13,1,2,475
13,0.011797958068136657,11,1,4,498,0.839724680432645,0.011797958068136657,11,1,4,498
75,0.011805161412124291,17,1,3,256,0.8495575221238938,0.011805161412124291,17,1,3,256
62,0.011815172841492097,16,1,2,265,0.8485742379547689,0.011815172841492097,16,1,2,265
89,0.011815862027535125,13,1,5,442,0.8436578171091446,0.011815862027535125,13,1,5,442
43,0.011820852565349827,11,1,4,443,0.8407079646017699,0.011820852565349827,11,1,4,443
44,0.011846898209272358,12,1,6,429,0.8416912487708947,0.011846898209272358,12,1,6,429
25,0.011852405074506663,12,1,6,467,0.839724680432645,0.011852405074506663,12,1,6,467
42,0.011859156194312753,15,2,3,498,0.8436578171091446,0.011859156194312753,15,2,3,498
49,0.011860500796180973,20,2,5,500,0.8416912487708947,0.011860500796180973,20,2,5,500
94,0.011868560607229173,11,2,3,500,0.8387413962635202,0.011868560607229173,11,2,3,500
69,0.011870651720185256,11,1,3,255,0.8436578171091446,0.011870651720185256,11,1,3,255
86,0.011871868060437175,14,2,3,427,0.8426745329400197,0.011871868060437175,14,2,3,427
34,0.01187311223354316,14,2,2,438,0.8426745329400197,0.01187311223354316,14,2,2,438
87,0.011874810013398336,14,2,4,464,0.8426745329400197,0.011874810013398336,14,2,4,464
99,0.011875359987298637,15,2,2,447,0.8426745329400197,0.011875359987298637,15,2,2,447
17,0.011880142899987348,13,1,6,34,0.8357915437561455,0.011880142899987348,13,1,6,34
26,0.01188111429020663,15,2,3,336,0.8436578171091446,0.01188111429020663,15,2,3,336
96,0.011882232356344101,13,2,3,489,0.8407079646017699,0.011882232356344101,13,2,3,489
77,0.011883508643150856,15,2,4,118,0.839724680432645,0.011883508643150856,15,2,4,118
55,0.011891034648355212,18,2,3,366,0.8407079646017699,0.011891034648355212,18,2,3,366
59,0.011900249592747238,20,2,2,216,0.8436578171091446,0.011900249592747238,20,2,2,216
39,0.011900632123535005,16,2,2,457,0.8446411012782694,0.011900632123535005,16,2,2,457
66,0.011907552596679994,15,2,3,321,0.8446411012782694,0.011907552596679994,15,2,3,321
90,0.011910581956135988,10,1,4,397,0.8210422812192724,0.011910581956135988,10,1,4,397
76,0.01191380190197988,16,2,2,96,0.8456243854473943,0.01191380190197988,16,2,2,96
32,0.011915373934110107,11,2,5,470,0.8367748279252704,0.011915373934110107,11,2,5,470
53,0.011920536242541833,19,2,2,314,0.8426745329400197,0.011920536242541833,19,2,2,314
