number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
66,0.010111535094144586,18,1,2,410,0.8477876106194691,0.010111535094144586,18,1,2,410
62,0.010115343073912323,19,1,2,417,0.848377581120944,0.010115343073912323,19,1,2,417
98,0.010117466010222908,19,1,2,413,0.8477876106194691,0.010117466010222908,19,1,2,413
96,0.010119786933003376,19,1,2,379,0.8477876106194691,0.010119786933003376,19,1,2,379
18,0.010121685059928241,19,1,2,438,0.8489675516224189,0.010121685059928241,19,1,2,438
54,0.010123037166517143,19,1,2,440,0.848377581120944,0.010123037166517143,19,1,2,440
53,0.010123949257569402,20,1,2,418,0.8495575221238938,0.010123949257569402,20,1,2,418
81,0.010123949257569402,20,1,2,418,0.8495575221238938,0.010123949257569402,20,1,2,418
84,0.010124251687148119,20,1,2,426,0.8489675516224189,0.010124251687148119,20,1,2,426
28,0.010125378915090076,19,1,3,325,0.848377581120944,0.010125378915090076,19,1,3,325
71,0.010126828875269937,20,1,2,422,0.8495575221238938,0.010126828875269937,20,1,2,422
31,0.01012684622836785,19,1,3,380,0.8471976401179941,0.01012684622836785,19,1,3,380
64,0.010127338973911515,20,1,2,420,0.8495575221238938,0.010127338973911515,20,1,2,420
72,0.01012849271678071,20,1,2,406,0.848377581120944,0.01012849271678071,20,1,2,406
83,0.01012868177639946,19,1,3,374,0.8489675516224189,0.01012868177639946,19,1,3,374
92,0.010129001218859604,20,1,2,442,0.8477876106194691,0.010129001218859604,20,1,2,442
82,0.010130570110940823,20,1,2,391,0.8477876106194691,0.010130570110940823,20,1,2,391
93,0.010131593375825644,19,1,3,393,0.8477876106194691,0.010131593375825644,19,1,3,393
49,0.010134027743491442,20,1,3,388,0.8489675516224189,0.010134027743491442,20,1,3,388
86,0.01013455911889733,20,1,2,454,0.8495575221238938,0.01013455911889733,20,1,2,454
41,0.010135331575059974,19,1,3,366,0.8466076696165191,0.010135331575059974,19,1,3,366
36,0.01013647848263376,20,1,4,180,0.8495575221238938,0.01013647848263376,20,1,4,180
50,0.010136574796577418,18,1,3,393,0.8489675516224189,0.010136574796577418,18,1,3,393
75,0.010138494208528113,20,1,2,355,0.848377581120944,0.010138494208528113,20,1,2,355
91,0.010142869612739084,19,1,3,409,0.848377581120944,0.010142869612739084,19,1,3,409
60,0.010143490268285529,12,1,3,383,0.8495575221238938,0.010143490268285529,12,1,3,383
42,0.010144367700684049,20,1,3,278,0.8507374631268436,0.010144367700684049,20,1,3,278
76,0.010145937789145085,17,1,4,340,0.8477876106194691,0.010145937789145085,17,1,4,340
90,0.010151608696801019,20,1,3,421,0.8489675516224189,0.010151608696801019,20,1,3,421
10,0.010154138967164184,19,1,5,383,0.8477876106194691,0.010154138967164184,19,1,5,383
21,0.010155764007750123,19,1,4,417,0.848377581120944,0.010155764007750123,19,1,4,417
51,0.010157383040574806,20,1,4,361,0.8489675516224189,0.010157383040574806,20,1,4,361
61,0.010161498868676087,19,1,3,445,0.8477876106194691,0.010161498868676087,19,1,3,445
11,0.010163487767544577,20,1,5,398,0.848377581120944,0.010163487767544577,20,1,5,398
80,0.010163578491419635,19,1,5,415,0.848377581120944,0.010163578491419635,19,1,5,415
12,0.010163768284390343,20,1,5,395,0.8477876106194691,0.010163768284390343,20,1,5,395
73,0.010165525676766745,18,1,3,463,0.8495575221238938,0.010165525676766745,18,1,3,463
69,0.01017037355111963,17,1,3,485,0.8477876106194691,0.01017037355111963,17,1,3,485
33,0.010170447070420889,17,1,3,277,0.848377581120944,0.010170447070420889,17,1,3,277
22,0.010172532975391401,18,1,3,497,0.8501474926253687,0.010172532975391401,18,1,3,497
45,0.010183991879678247,20,1,4,95,0.8489675516224189,0.010183991879678247,20,1,4,95
58,0.010237198235878067,17,2,2,403,0.8460176991150442,0.010237198235878067,17,2,2,403
15,0.010237717661307462,16,2,5,345,0.8448377581120944,0.010237717661307462,16,2,5,345
32,0.010238841040714675,19,2,3,375,0.8477876106194691,0.010238841040714675,19,2,3,375
25,0.010239212342668735,18,1,7,310,0.8430678466076696,0.010239212342668735,18,1,7,310
74,0.01024035825213387,19,2,2,378,0.848377581120944,0.01024035825213387,19,2,2,378
88,0.010240936776465238,18,2,2,401,0.8466076696165191,0.010240936776465238,18,2,2,401
85,0.010246443986315407,20,2,2,428,0.8471976401179941,0.010246443986315407,20,2,2,428
94,0.010246893936394415,18,2,2,428,0.8471976401179941,0.010246893936394415,18,2,2,428
23,0.01024842196806424,19,2,4,432,0.8471976401179941,0.01024842196806424,19,2,4,432
79,0.010250477615034415,16,2,4,457,0.848377581120944,0.010250477615034415,16,2,4,457
97,0.010250968894755876,18,2,2,364,0.8477876106194691,0.010250968894755876,18,2,2,364
67,0.01025151323604912,15,2,4,406,0.848377581120944,0.01025151323604912,15,2,4,406
48,0.01025415389225928,17,2,5,428,0.8471976401179941,0.01025415389225928,17,2,5,428
55,0.010254845969264504,18,2,2,442,0.848377581120944,0.010254845969264504,18,2,2,442
52,0.010256710690402807,19,2,3,326,0.8471976401179941,0.010256710690402807,19,2,3,326
26,0.010257555965218114,15,2,4,458,0.8489675516224189,0.010257555965218114,15,2,4,458
99,0.010263357441757982,19,2,2,452,0.848377581120944,0.010263357441757982,19,2,2,452
14,0.01026368924819729,17,2,5,460,0.8466076696165191,0.01026368924819729,17,2,5,460
43,0.010264988223381646,17,2,2,252,0.8448377581120944,0.010264988223381646,17,2,2,252
63,0.010266450752488701,18,2,2,463,0.8489675516224189,0.010266450752488701,18,2,2,463
77,0.010267782279711667,18,2,3,298,0.8471976401179941,0.010267782279711667,18,2,3,298
34,0.010268203411450518,19,2,6,332,0.8436578171091446,0.010268203411450518,19,2,6,332
95,0.010287791571796235,20,1,8,466,0.8353982300884956,0.010287791571796235,20,1,8,466
39,0.010335464028523162,18,1,9,216,0.831858407079646,0.010335464028523162,18,1,9,216
56,0.010380038354590723,16,1,10,472,0.8283185840707965,0.010380038354590723,16,1,10,472
24,0.010476976913479817,14,3,2,368,0.8353982300884956,0.010476976913479817,14,3,2,368
19,0.010488386431907713,14,3,2,448,0.8359882005899705,0.010488386431907713,14,3,2,448
35,0.010491787888451246,16,3,2,289,0.8330383480825959,0.010491787888451246,16,3,2,289
46,0.010495559439772425,19,3,7,351,0.831858407079646,0.010495559439772425,19,3,7,351
16,0.010495867430394275,17,3,4,414,0.8330383480825959,0.010495867430394275,17,3,4,414
57,0.010496647208508795,20,3,2,417,0.8348082595870207,0.010496647208508795,20,3,2,417
70,0.010500374206561866,19,3,2,434,0.8353982300884956,0.010500374206561866,19,3,2,434
27,0.010506304733577365,13,3,6,399,0.8359882005899705,0.010506304733577365,13,3,6,399
68,0.010622834054468486,18,2,13,448,0.8171091445427728,0.010622834054468486,18,2,13,448
13,0.0107030160057779,20,2,15,364,0.8082595870206489,0.0107030160057779,20,2,15,364
44,0.010745373985205734,18,5,3,477,0.824188790560472,0.010745373985205734,18,5,3,477
9,0.010746778462370864,11,4,8,133,0.8235988200589971,0.010746778462370864,11,4,8,133
37,0.010760591809192229,20,2,15,179,0.8082595870206489,0.010760591809192229,20,2,15,179
3,0.010776595334192467,11,4,10,179,0.8224188790560472,0.010776595334192467,11,4,10,179
30,0.010873693991382171,16,6,2,239,0.8176991150442477,0.010873693991382171,16,6,2,239
65,0.010885133322695155,19,6,2,428,0.8182890855457227,0.010885133322695155,19,6,2,428
47,0.010939479497610321,10,4,2,31,0.8200589970501475,0.010939479497610321,10,4,2,31
17,0.010995076529529794,15,7,6,308,0.8082595870206489,0.010995076529529794,15,7,6,308
5,0.01101438722839453,12,7,7,484,0.8058997050147493,0.01101438722839453,12,7,7,484
89,0.011019642855152471,19,7,2,488,0.8047197640117995,0.011019642855152471,19,7,2,488
59,0.011381179433704883,19,9,5,496,0.7882005899705015,0.011381179433704883,19,9,5,496
20,0.011561194785537991,18,10,3,342,0.7846607669616519,0.011561194785537991,18,10,3,342
29,0.011620072029618024,8,1,2,319,0.6206489675516225,0.011620072029618024,8,1,2,319
0,0.011645572474963293,8,1,2,200,0.6200589970501474,0.011645572474963293,8,1,2,200
38,0.011673130725672897,9,10,4,154,0.7734513274336283,0.011673130725672897,9,10,4,154
7,0.011905230349448473,8,4,3,222,0.615339233038348,0.011905230349448473,8,4,3,222
87,0.015827646881338166,6,1,3,474,0.2336283185840708,0.015827646881338166,6,1,3,474
40,0.016006732773627453,6,8,13,123,0.23421828908554573,0.016006732773627453,6,8,13,123
6,0.019248681613117262,5,4,12,17,0.010029498525073746,0.019248681613117262,5,4,12,17
1,0.022563810915707236,4,10,12,285,0.002359882005899705,0.022563810915707236,4,10,12,285
2,0.022576809933604287,4,5,8,260,0.0017699115044247787,0.022576809933604287,4,5,8,260
8,0.022682971533141777,4,5,11,71,0.0017699115044247787,0.022682971533141777,4,5,11,71
78,0.028332282808105413,3,1,2,436,0.14926253687315635,0.028332282808105413,3,1,2,436
4,0.028333506741991372,3,8,9,69,0.14926253687315635,0.028333506741991372,3,8,9,69
